#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
67,Cantale @UCC6jEV2ABF1rKo6YLSIk19Q,1.3M,-,Peru,,384K,Alcadeno,1200000,102732164,679
68,Juanito y Richard @cholojuanitoyricharddouglas,1.3M,0.2%,Peru,,375K,Odilon Huamani,1810000,1076367154,182
69,Alcadeno @UC7EgN0_nONgpXzmHwGWbhPw,1.2M,-,Peru,,372K,LINEA DE TIEMPO,2020000,616291765,1535
70,Odilon Huamani @UCT2JPnLdgkPnptb3PQdB5Hg,1.2M,-,Peru,,372K,Los Comicos Ambulantes del Perú,1220000,20590242,222
71,LINEA DE TIEMPO @UCpa523oHE_iRutAewYp3v_w,1.2M,-,Peru,,369K,Luis Lovon,1420000,258119723,1010
72,XJared10 @UCTgzQuIlt9yhH48n84fX8pQ,1.2M,-,Peru,,360K,Pepe el Mago Juega,1550000,610623414,4211
73,Luis Lovon @UCyDbMpqtBxfTQU7ABIF70AA,1.2M,-,Peru,,360K,Un Mundo De Historias,1450000,187376225,637
74,Pepe el Mago Juega @UCM-Q21rFJyjZA1fvg2cqKYw,1.2M,0.3%,Peru,,351K,notepiquestv,1170000,152883936,388
75,Un Mundo De Historias @UCXiPFoqWWLmDC0aPNXe7PJg,1.2M,-,Peru,,348K,Reggaeton Urbano,1190000,172977520,160
76,notepiquestv @UCVIiKvrQ8K8MqHuC1b-S70w,1.2M,-,Peru,,348K,Martin Catalogne Makeup,1160000,144438826,1843
77,Reggaeton & Trap @UCyXxTWEJOO2F4JxT8CNZGdQ,1.2M,0.3%,Peru,,345K,Tongo Oficial,1150000,140160284,580
78,Martin Catalogne Makeup @UCokBc8rovET0mE_wO37mYXQ,1.1M,0.3%,Peru,,342K,Jeffar Vlogs,1590000,105544680,257
79,Tongo Oficial @UCIm5dgSJPmVBkz7CKuGtwFQ,1.1M,0.1%,Peru,,336K,Bartolitocraft,1980000,32505600,11
80,Jeffar Vlogs @UCHr6rOAFSuZA6KOeGyLrEOQ,1.1M,0.6%,Peru,,336K,Samir velasquez,1080000,153894484,378
81,Bartolito @UCsgUqltFhaGFjz4pvJ0CTTQ,1.1M,-,Peru,,330K,MoonwalkerTV,1490000,102188639,73
82,Samir velasquez @UCINvgwTzPzzWbCFbcn1fFmQ,1.1M,-,Peru,,321K,JaneLK Ideas,1230000,175741386,488
83,Giancarlo Velazco @UCSHp6wzQ9Loq6pmSi-n4VXg,1.1M,-,Peru,,321K,Roart,1060000,271630385,210
84,JaneLK Ideas @UChV3EJKbGklQ8pUC2Qt-Ymw,1.1M,0.1%,Peru,,315K,Aprendiendo a Cocinar como Mama,1210000,162634952,553
85,Misias pero viajeras @misiasperoviajeras,1.1M,0.4%,Peru,,315K,delquillabambino,1010000,136379326,110
86,Roart @UChh-bXBQTrMQIJackwys2dQ,1M,0.1%,Peru,,309K,Magaly TV La Firme,1430000,796264982,13901
87,Aprendiendo a Cocinar Como Mamá @UC3S_MrM4E5icPagCdW6wc1w,1M,-,Peru,,306K,ArturoR15,965000,65225955,297
88,delquillabambino @UCfCqFAMfZ771IrBf7sFJcRA,1M,-,Peru,,306K,NES QUIN,1370000,703104083,1461
89,Magaly ATV @UCF6s3gpbZEQKqZ38VvQ0gLA,1M,-,Peru,,300K,Malucci,1350000,345763429,49
90,ArturoR15 @UCCYtO-IuoJ2Pu5UlPdzgQ6g,1M,-,Peru,,300K,Anrock,1050000,52704298,57
91,NES QUIN @UCUOheTWut65njw8U_7S98pQ,1M,-,Peru,,300K,FanDom,1370000,352299406,1919
92,Malucci @UCWYaqvLXPJrSISmZWG2AAvQ,1M,1.1%,Peru,,300K,Zombieverso,1280000,188936286,361
93,anrock @UC5-kZ2oIAYjzVEdLoDDp34g,1M,0.2%,Peru,,300K,NaciónUrbanaTV,1140000,395146423,154
94,FanDom @UCLkmEqfMVlwItXm7ifldGKQ,1M,0.3%,Peru,,300K,Cocina Facil de Rosana,1150000,135359446,1495
95,Zombieverso @UCbvSVVf3HAm7upmlkqU2d8Q,985K,0.7%,Peru,,295.5K,Daarick,1000000,383020101,2642
96,NaciónUrbanaTV @UCkueSkG3blusetSpIdJsicQ,979K,0.2%,Peru,,293.7K,Luisardo,1180000,186332527,136
97,Easy Kitchen of Rosana @UCSC_5MAZDBZvWt4ycF0Lmhg,977K,-,Peru,,293.1K,,,,
98,El Basurero de Daarick @UCGA6Zu0wxKCnW9W0crxoneQ,975K,-,Peru,,292.5K,,,,
99,VARIOUS MUSIC LBA @UCGlFOT4_wS3vVROtpYL6mgQ,973K,-,Peru,,291.9K,,,,
100,Luisardo @UCR5a11Jjd_b5FoEA8yYenZg,963K,-,Peru,,288.9K,,,,
